,Player,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Points Total
20,Wolves S2,26.6,646,358,227,61,281,685,41.0,404,378,109,269,1083,702,23,61.0,2.0,2,407,360,49,718,4,3,1,2113,775,711,52.2,14298,18474,77.4,266628,97031,5979,6942,86.1,5777,6928,83.4,1985,3308,60.0,34,37.5,30.0,-3.5,339,1015,223,83,959,38,3420.0,90.0,100.0,418,86.0,,97,19.0,187,1.55,51.0,40.0,11.0,0.29,,54.1,38.0,16.1,0.42,,49,457,142,31.1,12.03,3.74,0.1,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0,59
23,Newcastle S2,26.9,711,356,291,64,241,565,42.7,324,472,135,337,1217,1204,16,57.0,2.0,0,423,332,59,711,2,6,1,2034,785,914,46.2,10774,15231,70.7,197303,79472,4812,5773,83.4,3758,4863,77.3,1584,3269,48.5,33,27.4,23.4,5.6,324,792,255,99,766,38,3420.0,90.0,100.0,418,86.0,,99,17.0,167,1.18,42.0,48.0,-6.0,-0.16,,39.1,53.6,-14.5,-0.38,,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,1.9,3.3,784,20.63,571,77,33,43,42,18,68,1.79,46,5,4,10,2,1,45
19,Brighton S2,27.4,679,363,238,78,264,582,45.4,318,415,170,245,1142,1001,17,61.0,4.0,1,463,301,90,636,5,10,0,1979,824,780,51.4,11491,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,24,24.5,23.1,-0.5,281,887,223,81,809,38,3420.0,90.0,100.0,418,84.0,,99,22.0,167,0.95,35.0,60.0,-25.0,-0.66,,35.3,59.1,-23.8,-0.63,,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7,646,17.0,427,87,40,35,45,12,55,1.45,29,9,1,7,8,1,36
28,Huddersfield S2,26.2,708,323,315,70,263,625,42.1,362,496,130,366,1239,682,15,56.0,4.0,1,420,370,63,768,1,9,1,2063,844,807,51.1,13045,17777,73.4,237346,93900,6045,7200,84.0,4765,6029,79.0,1792,3398,52.7,13,19.9,17.4,-6.9,283,1023,208,93,842,38,3420.0,90.0,100.0,418,84.0,,107,22.0,159,0.42,22.0,76.0,-54.0,-1.42,,28.8,60.9,-32.2,-0.85,,21,400,116,29.0,10.53,3.05,0.05,0.17,19.1,15,1,1,28.8,28.0,0.07,-7.8,-8.0,681,17.92,486,74,27,43,37,14,33,0.87,23,4,0,3,3,0,16
26,Sheffield Utd S2,26.7,634,325,239,70,294,720,40.8,426,442,152,290,985,839,19,73.0,3.0,0,459,293,73,666,3,4,3,1802,718,798,47.4,12146,16264,74.7,207510,78610,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,821,38,3420.0,90.0,100.0,418,83.0,315.0,103,25.0,198,0.61,20.0,63.0,-43.0,-1.13,,32.6,62.2,-29.6,-0.78,,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5,566,14.89,435,48,27,28,23,5,27,0.71,16,3,2,3,3,0,23
23,Aston Villa S2,25.2,530,262,202,66,250,571,43.8,321,438,159,279,917,783,17,71.0,4.0,4,439,553,71,779,6,6,1,1906,728,665,52.3,12938,16996,76.1,235927,93013,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1034,38,3420.0,90.0,100.0,418,86.0,324.0,91,17.0,229,1.45,55.0,46.0,9.0,0.24,,52.5,51.1,1.4,0.04,,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,940,24.74,669,91,63,47,58,12,94,2.47,66,8,4,6,9,1,55
27,Leeds United S2,26.1,786,395,298,93,408,886,46.0,478,473,143,330,1181,622,15,101.0,3.0,0,469,368,63,648,4,5,1,2260,470,626,42.9,13988,18288,76.5,242663,89161,6271,7285,86.1,5921,7050,84.0,1325,2754,48.1,26,35.8,25.1,-9.8,347,995,272,53,1105,38,3420.0,90.0,100.0,418,82.0,312.0,106,29.0,234,1.0,42.0,79.0,-37.0,-0.97,,50.4,73.2,-22.8,-0.6,,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,50.4,46.5,0.1,-8.4,-9.5,823,21.66,586,70,51,60,42,14,66,1.74,36,2,10,10,5,3,38
18,Wolves S1,26.1,720,385,284,51,283,664,42.6,381,499,148,351,1221,895,23,73.0,1.0,0,409,325,73,622,4,4,4,2239,803,788,50.5,13961,18261,76.5,255562,92520,5966,6900,86.5,5519,6661,82.9,1884,3353,56.2,35,39.4,30.3,-4.4,348,1053,242,73,1009,38,3420.0,90.0,100.0,418,85.0,,110,17.0,156,1.5,47.0,46.0,1.0,0.03,,52.1,42.1,10.1,0.26,,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0,830,21.84,607,69,53,48,40,13,83,2.18,58,6,5,6,8,0,57
24,Newcastle S1,25.6,645,338,255,52,221,638,34.6,417,475,117,358,1086,1219,17,,,1,409,369,63,616,1,6,3,2021,884,927,48.8,11071,15659,70.7,199740,86123,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,29,32.1,26.1,-3.1,321,911,220,75,899,38,3420.0,90.0,100.0,418,,,112,0.0,154,1.16,39.0,47.0,-8.0,-0.21,,41.6,52.4,-10.8,-0.28,,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9,782,20.58,561,72,45,45,39,20,63,1.66,43,7,2,10,1,0,44
23,Brighton S1,27.5,599,360,205,34,205,642,31.9,437,430,190,240,1048,1182,18,,,0,413,277,98,680,7,3,5,2122,796,777,50.6,11838,16372,72.3,227791,89036,4898,5881,83.3,4601,5764,79.8,1872,3610,51.9,25,26.2,22.5,-1.2,283,885,193,65,901,38,3420.0,90.0,100.0,418,,,101,0.0,165,1.05,34.0,54.0,-20.0,-0.53,,37.0,50.8,-13.8,-0.36,,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8,684,18.0,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0,40
24,Huddersfield S1,26.4,743,354,306,83,249,630,39.5,381,453,118,335,1261,1129,22,,,2,397,363,67,765,2,6,1,2141,788,800,49.6,12036,16822,71.5,222821,88700,5283,6357,83.1,4787,6127,78.1,1549,3270,47.4,19,23.7,19.8,-4.7,260,937,180,77,816,38,3420.0,90.0,100.0,418,,,112,0.0,154,0.97,28.0,58.0,-30.0,-0.79,,31.3,48.5,-17.2,-0.45,,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8,621,16.34,444,52,38,35,36,16,45,1.18,29,4,6,3,3,0,37
24,Sheffield Utd S1,26.9,611,304,229,78,261,646,40.4,385,336,106,230,1031,931,16,63.0,2.0,1,412,306,78,866,1,3,0,2041,946,886,51.6,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34.0,29.7,-9.0,269,1053,282,97,903,38,3420.0,90.0,100.0,418,84.0,,110,22.0,171,1.42,39.0,39.0,0.0,0.0,,43.0,51.0,-7.9,-0.21,,36,352,109,31.0,9.26,2.87,0.1,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0,54
24,Aston Villa S1,25.7,523,285,174,64,223,597,37.4,374,456,184,272,946,928,26,70.0,1.0,1,451,525,62,798,2,6,1,1900,705,742,48.7,11652,15672,74.3,217478,84199,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,899,38,3420.0,90.0,100.0,418,84.0,,113,22.0,173,0.92,41.0,67.0,-26.0,-0.68,,44.3,67.8,-23.5,-0.62,,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,827,21.76,599,87,42,36,56,7,72,1.89,48,8,5,4,7,0,35
21,Leeds United S1,26.1,740,378,279,83,310,769,40.3,459,406,149,257,1137,646,26,61.0,1.0,0,432,410,76,786,3,9,2,2160,538,605,47.1,16284,20629,78.9,286488,99271,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1183,38,3420.0,90.0,100.0,418,83.0,312.0,107,25.0,209,1.55,62.0,54.0,8.0,0.21,,55.6,57.9,-2.2,-0.06,,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,59
